Report_ID,Incident_Type,Date,Location,Officer,Summary,Suspect_Description,Outcome
DOC-001,law enforcement report,"January 19, 2015",Fort Smith Police Department,N/A,"To: Whom it may Concern From: Fort Smith Police Department Date: January 19, 2015 Ref: MRAP The following documentation is intended to document the intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Fort Smith Police Department, by the United States Government. The Fort Smith Police Department recognizes this vehicle is the Property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another LEA, or returned to the United Stated government....",N/A,N/A
DOC-002,weapons / shooting,N/A,Hot Springs Police Department,N/A,"Hot Springs Police Department S.W.A.T. Training Cover Sheet Subject: MRAP Operations Duration of Class: 8 hours Level of Instruction: Basic Target Group: Hot Springs Police Department S.W.A.T. Team Course Prepared by: Ofc. Eric Wacaster Revisions: N/A Date of Instruction: 5/5/15 Location: Hot Springs Airport. 1 Hot Springs Police Department S.W.A.T. Training Course Summary Sheet Course Title: MRAP Operations Purpose of the Course: To familiarize Hot Springs Police Department SWAT Operators with basic MRAP functions, preventative maintenance, and driving operations of the MRAP. Objectives:...",MRAP Operations,N/A
DOC-003,weapons / shooting,"January 14, 2015",Jacksonville AR Police Department,Lt. Brett Hibbs,"To: Whom it may Concern From: Lt. Brett Hibbs Date: January 14, 2015 Ref: MRAP The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Jacksonville AR Police Department, by the United States Government. The Jacksonville Police Department recognizes this vehicle is the Property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another LEA, or returned to the United Stated government....",N/A,N/A
DOC-004,law enforcement report,N/A,Lonoke County Sheriff,N/A,"Lonoke County Sheriff’s Office John Staley - Sheriff To: From: County Sheriff’s Office DateW: hom it may Concern Ref: Lonoke 1 December 2015 MRAP CountyT hSeh eforilflfo’sw oinffgic deo, bcuym theen Utantiiotend i sS tiantteesn Gdeodv etron dmoecnutm. ent to intended use and training of the Mine ResistaCnotu Anmtyb Suhsehr Pifrf’ost Oecftfiicon Vehicle, which was allocated to the Lonoke The Lonoke e recognizes this vehicle is the property of the United Stated government and assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to...",N/A,N/A
